Epoch 0: Loss=1.7393, Acc=0.3050
Epoch 1: Loss=1.7186, Acc=0.3050
Epoch 2: Loss=1.7052, Acc=0.3080
Epoch 3: Loss=1.6946, Acc=0.3120
Epoch 4: Loss=1.6893, Acc=0.3010
Epoch 5: Loss=1.6876, Acc=0.3150
Epoch 6: Loss=1.6808, Acc=0.3100
Epoch 7: Loss=1.6733, Acc=0.3090
Epoch 8: Loss=1.6672, Acc=0.3240
Epoch 9: Loss=1.6633, Acc=0.3100
Epoch 10: Loss=1.6551, Acc=0.3130
Epoch 11: Loss=1.6542, Acc=0.3190
Epoch 12: Loss=1.6509, Acc=0.3310
Epoch 13: Loss=1.6461, Acc=0.3200
Epoch 14: Loss=1.6478, Acc=0.3150
Epoch 15: Loss=1.6437, Acc=0.3230
Epoch 16: Loss=1.6461, Acc=0.3210
Epoch 17: Loss=1.6453, Acc=0.3140
Epoch 18: Loss=1.6436, Acc=0.3170
Epoch 19: Loss=1.6404, Acc=0.3240
Epoch 20: Loss=1.6394, Acc=0.3290
Epoch 21: Loss=1.6391, Acc=0.3190
Epoch 22: Loss=1.6377, Acc=0.3200
Epoch 23: Loss=1.6334, Acc=0.3240
Epoch 24: Loss=1.6345, Acc=0.3300
Epoch 25: Loss=1.6348, Acc=0.3150
Epoch 26: Loss=1.6356, Acc=0.3240
Epoch 27: Loss=1.6355, Acc=0.3180
Epoch 28: Loss=1.6321, Acc=0.3290
Epoch 29: Loss=1.6303, Acc=0.3170
