Epoch 0: Loss=1.5629, Acc=0.7910
Epoch 1: Loss=1.5276, Acc=0.7740
Epoch 2: Loss=1.5147, Acc=0.7670
Epoch 3: Loss=1.5100, Acc=0.7510
Epoch 4: Loss=1.5075, Acc=0.7770
Epoch 5: Loss=1.5036, Acc=0.7640
Epoch 6: Loss=1.4997, Acc=0.7550
Epoch 7: Loss=1.5032, Acc=0.7700
Epoch 8: Loss=1.4984, Acc=0.7550
Epoch 9: Loss=1.4967, Acc=0.7610
Epoch 10: Loss=1.4943, Acc=0.7620
Epoch 11: Loss=1.4942, Acc=0.7650
Epoch 12: Loss=1.4911, Acc=0.7640
Epoch 13: Loss=1.4918, Acc=0.7620
Epoch 14: Loss=1.4895, Acc=0.7680
Epoch 15: Loss=1.4891, Acc=0.7590
Epoch 16: Loss=1.4899, Acc=0.7590
Epoch 17: Loss=1.4893, Acc=0.7650
Epoch 18: Loss=1.4890, Acc=0.7680
Epoch 19: Loss=1.4896, Acc=0.7690
Epoch 20: Loss=1.4891, Acc=0.7630
Epoch 21: Loss=1.4884, Acc=0.7590
Epoch 22: Loss=1.4880, Acc=0.7640
Epoch 23: Loss=1.4877, Acc=0.7650
Epoch 24: Loss=1.4879, Acc=0.7630
Epoch 25: Loss=1.4872, Acc=0.7590
Epoch 26: Loss=1.4876, Acc=0.7590
Epoch 27: Loss=1.4864, Acc=0.7550
Epoch 28: Loss=1.4862, Acc=0.7700
Epoch 29: Loss=1.4864, Acc=0.7690
Epoch 30: Loss=1.4862, Acc=0.7750
Epoch 31: Loss=1.4857, Acc=0.7750
Epoch 32: Loss=1.4857, Acc=0.7640
Epoch 33: Loss=1.4860, Acc=0.7730
Epoch 34: Loss=1.4856, Acc=0.7790
Epoch 35: Loss=1.4862, Acc=0.7750
Epoch 36: Loss=1.4859, Acc=0.7770
Epoch 37: Loss=1.4855, Acc=0.7730
Epoch 38: Loss=1.4854, Acc=0.7770
Epoch 39: Loss=1.4860, Acc=0.7660
Epoch 40: Loss=1.4858, Acc=0.7730
Epoch 41: Loss=1.4858, Acc=0.7700
Epoch 42: Loss=1.4853, Acc=0.7730
Epoch 43: Loss=1.4847, Acc=0.7720
Epoch 44: Loss=1.4846, Acc=0.7750
Epoch 45: Loss=1.4847, Acc=0.7720
Epoch 46: Loss=1.4844, Acc=0.7750
Epoch 47: Loss=1.4845, Acc=0.7630
Epoch 48: Loss=1.4848, Acc=0.7710
Epoch 49: Loss=1.4844, Acc=0.7760
